ID,Content Family,Content Types,Category,Owner Team,Author Team,Contact Team,Doc Name (FR),Doc Name (EN),Instance name,Doc Version,Default Language,Other Languages,Status,Creation Date,Published Date,Last Update Date,Next Review Date,Content Description,Activities,Audience,Data Classification,Periodicity,Key Words,Comms GPT ?,Pre-Archiving?,Doc Published Link,Unnamed: 27,
DOC_011,Contract Template,Governance Document,Risk & Compliance,IT Operations,Regulatory Affairs,Audit,Guide de Continuité d'Activité,Business Continuity Guide,v3.2,6.0,English,Spanish;German,Draft,2021-01-27,2022-11-05,2024-12-21,2027-04-22,This document defines the framework for technology within the organization.,Governance;Compliance Monitoring,Compliance Officers;Managers;Risk Managers,Restricted,One-time,risk;framework,No,Yes,,,
DOC_012,Procedure,Reference Document,Risk & Compliance,Audit,Data Office,Compliance,Politique AML,AML Policy,v2.1,6.0,English,,Under Review,2019-01-11,2024-05-31,2024-03-17,2025-06-04,This document defines the framework for strategy within the organization.,Regulatory Reporting;Process Control,Compliance Officers;Legal Team;Regulators,Internal,Quarterly,governance;legal;regulation;compliance,Yes,No,https://sharepoint.bnpparibas.com/docs/012,,
DOC_013,Contract Template,Legal Document,Legal,Regulatory Affairs,Regulatory Affairs,Finance,Charte des Achats,Procurement Charter,v2.1,6.0,English,,Archived,2021-10-08,2024-10-30,2025-04-14,2027-11-09,This document defines the guidelines for finance within the organization.,Legal Advisory,Compliance Officers;Executive Committee;Board,Restricted,Quarterly,regulation;governance;risk;audit,No,No,,,
DOC_014,Guide,Governance Document,Risk & Compliance,Data Office,HR,Data Office,Procédure de Gestion des Incidents,Incident Management Procedure,v3.1,1.0,English,,Under Review,2018-01-21,2025-03-28,2024-09-28,2026-03-30,This document defines the policy for operations within the organization.,Audit,Board;Managers,Confidential,Ad hoc,risk;standard;policy,Yes,No,https://intranet.bnpparibas.com/policies/014,,
DOC_015,Procedure,Reference Document,Risk & Compliance,IT Operations,IT Operations,HR,Politique de Rétention des Données,Data Retention Policy,v2.1,1.0,French,,Draft,2019-03-31,2023-12-05,2024-11-13,2026-02-18,This document defines the framework for risk & compliance within the organization.,Regulatory Reporting;Policy Management,Managers;Executive Committee,Confidential,Quarterly,regulation;procedure;reporting,,No,https://confluence.bnpparibas.com/doc/015,,
DOC_016,Procedure,Operational Document,Legal,Legal Counsel,Data Office,Compliance,Standard de Gouvernance IT,IT Governance Standard,v3.2,5.0,French,,Under Review,2021-06-26,2023-05-13,2024-04-18,2026-08-27,This document defines the standard for risk & compliance within the organization.,Regulatory Reporting;Governance,Managers;Executive Committee,Public,Biannual,reporting;standard;procedure,No,Yes,,,
DOC_017,Procedure,Operational Document,Strategy,Compliance,Legal Counsel,Audit,Guide de Formation Conformité,Compliance Training Guide,v3.3,6.0,English,,Archived,2018-06-24,2022-02-10,2024-01-25,2026-12-29,This document defines the framework for hr within the organization.,Legal Advisory;Process Control,All Employees;Regulators;Board,Confidential,Annual,framework;reporting,Yes,Yes,,,
DOC_018,Memo,Compliance Document,HR,Risk Management,Regulatory Affairs,HR,Politique de Sanction,Sanctions Policy,v1.2,2.0,English,,Approved,2018-06-09,2023-07-05,2025-04-30,2026-11-22,This document defines the procedure for technology within the organization.,Compliance Monitoring,Managers;All Employees;Executive Committee,Top Secret,One-time,standard;procedure;compliance,No,No,018,,
DOC_019,Memo,Reference Document,Technology,Operations,Risk Management,Regulatory Affairs,Manuel de Contrôle Permanent,Permanent Control Manual,v4.2,2.0,French,,Draft,2022-07-01,2024-10-26,2024-04-27,2027-02-19,This document defines the procedure for finance within the organization.,Governance,All Employees,Confidential,Quarterly,governance;policy;procedure;reporting,No,No,https://sharepoint.bnpparibas.com/docs/019,,
DOC_020,Policy,Compliance Document,Finance,Compliance,Risk Management,Compliance,Procédure d'Habilitations IT,IT Access Rights Procedure,v1.1,6.0,English,English;French;Spanish,Under Review,2018-02-21,2023-03-23,2024-06-01,2026-07-20,This document defines the procedure for risk & compliance within the organization.,Compliance Monitoring;Legal Advisory,Executive Committee;Managers;Legal Team,Internal,One-time,legal;regulation;risk;control,,No,,,
