ID,Primary Thematic,Secondary Thematic,Platform,Content Family,Content Types,Owner Team,Author Team,Contact Team,Content Name (EN),Content Name (FR),Content Version,Default Language,Other Languages,Status,Creation Date,Published Date,Last Update Date,Next Review Date,Content Description,Activities,Audience,Data Classification,Periodicity,Key Words,Comms GPT?,Pre-Archiving?,Content Published Link,Content - Event Name,Content - Persons,Content - Geo,Content - BNPP Entities,Content - Times,Content - Cause,Content - Consequence,Content - Thematics
MED_011,Innovation,Operations,Corporate Website;Social Media;Teams,Editorial Series,Webinar,Press & Media,Data Office,Data Office,Townhall Live Stream 2024,Live Stream Townhall 2024,4.2,English,,Approved,2023-01-04,2023-12-04,2024-12-11,2026-07-25,This media content covers innovation for regulators. It provides engaging storytelling and brand alignment across digital channels.,Content Production,Clients;Board,Confidential,Ad hoc,media;content;campaign;engagement,In Progress,No,https://sharepoint.bnpparibas.com/media/011,Product Launch,,LATAM;Americas,Arval;BNP Paribas SA,Short-term,,Employee Engagement,communication;awareness;social;brand
MED_012,ESG,Operations;Data & AI,SharePoint;Intranet;Corporate Website,Event Coverage,Webinar,Social Media,Press & Media,Employee Engagement,Green Finance Email Campaign,Campagne Email Finance Verte,3.0,English,,Active,2021-06-24,2024-12-23,2024-06-07,2025-08-26,This media content covers esg for public. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Content Production;Brand Management,All Employees,Confidential,Quarterly,campaign;innovation,No,No,https://youtube.bnpparibas.com/012,Brand Event,,Global;Americas,Hello bank!;Arval,Long-term,Strategic Decision,,campaign;media;ESG
MED_013,Data & AI,Finance;Client Experience,YouTube;Teams,Event Coverage,Story,Social Media,Brand,Press & Media,People & Culture Podcast,Podcast Personnes & Culture,3.1,French,Italian;Spanish,Archived,2021-11-22,2024-11-07,2024-06-22,2026-06-04,This media content covers data & ai for executive committee. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management,Partners,Restricted,Ad hoc,transformation;digital,Yes,No,https://sharepoint.bnpparibas.com/media/013,ESG Summit,,Global,Cetelem,Long-term,,,ESG;campaign;innovation;brand
MED_014,Data & AI,Operations;Finance,Teams,Editorial Series,Infographic,IT Operations,Social Media,Social Media,Cybersecurity Awareness Month,Mois Sensibilisation Cybersécurité,3.1,French,,Approved,2022-12-11,2024-01-01,2024-03-06,2026-09-12,This media content covers data & ai for executive committee. It provides engaging storytelling and brand alignment across digital channels.,Content Production,Executive Committee,Internal,Quarterly,innovation;media;social;digital;brand,Yes,No,,,,Europe;Middle East,BNP Paribas SA;Hello bank!;Cetelem,Short-term,Strategic Decision,Client Acquisition,engagement;social;brand;media
MED_015,People & Culture,Digital Transformation,YouTube;Social Media,Editorial Series,Article,Communication,HR,Communication,EXCO Strategy Presentation Video,Vidéo Présentation COMEX Stratégie,3.0,English,Spanish,Active,2021-08-03,2023-11-13,2024-11-18,2026-08-26,This media content covers people & culture for board. It provides engaging storytelling and brand alignment across digital channels.,Brand Management,Clients;All Employees;Public,Confidential,Ad hoc,communication;campaign;digital,N/A,Yes,,,,Middle East,Cetelem;Arval;BNP Paribas CIB,Long-term,Client Request,Brand Awareness,innovation;ESG;social
MED_016,Data & AI,Digital Transformation,Mass Mailing,Awareness Campaign,Interactive Content,Brand,IT Operations,IT Operations,Diversity & Inclusion Campaign,Campagne Diversité & Inclusion,1.2,English,French;German,Archived,2021-12-21,2024-07-13,2025-02-26,2026-11-21,This media content covers data & ai for managers. It provides engaging storytelling and brand alignment across digital channels.,Stakeholder Engagement;Communication,All Employees,Public,Annual,transformation;communication;content;ESG;innovation,Yes,Yes,,Brand Event,,Americas,BNP Paribas Cardif,,,Client Acquisition,media;communication
MED_017,Operations,Data & AI,Teams;Podcast Platform;Mass Mailing,Event Coverage,Campaign,HR,Communication,Brand,FinTech Innovation Series,Série Innovation Fintech,2.2,English,English,Approved,2021-07-08,2024-03-25,2024-04-06,2025-09-25,This media content covers operations for board. It provides engaging storytelling and brand alignment across digital channels.,Digital Publishing;Content Production;Communication,Clients;Board,Public,Annual,campaign;social;digital;innovation;brand,In Progress,No,,Annual Results,,Global,Nickel,Long-term,,Employee Engagement,communication;innovation;campaign;ESG
MED_018,Client Experience,Innovation,Intranet;Social Media,Event Coverage,Video,Data Office,Employee Engagement,Strategy,Risk Management Webinar,Webinaire Gestion des Risques,3.1,French,,Published,2021-08-12,2024-12-24,2025-03-07,2026-12-28,This media content covers client experience for managers. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Communication,Board;Public,Public,Weekly,media;social;communication;campaign;transformation,In Progress,Yes,https://intranet.bnpparibas.com/media/018,Annual Results,,Americas,BNP Paribas SA;BNP Paribas CIB,,Market Evolution,Cost Reduction,innovation;transformation;engagement;digital
MED_019,Innovation,Finance;Client Experience,Social Media;Podcast Platform,Internal Campaign,Video,Brand,Brand,Strategy,Internal Brand Refresh Campaign,Campagne Rafraîchissement Marque Interne,1.1,French,,Draft,2022-07-27,2023-07-24,2024-09-15,2026-05-12,This media content covers innovation for public. It provides engaging storytelling and brand alignment across digital channels.,Content Production;Brand Management,Managers;All Employees,Confidential,One-time,transformation;innovation;digital,N/A,Yes,https://intranet.bnpparibas.com/media/019,Brand Event,,Europe,Cetelem,Immediate,Strategic Decision,,awareness;content;transformation
MED_020,Data & AI,Digital Transformation;ESG,Corporate Website;Social Media;Intranet,Training Series,Article,Data Office,IT Operations,IT Operations,Client Onboarding Digital Journey,Parcours Digital Onboarding Client,2.1,French,English,Active,2022-04-15,2024-08-27,2024-02-19,2026-02-04,This media content covers data & ai for board. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management,Board;All Employees;Public,Internal,One-time,campaign;content;social;media,N/A,No,,Product Launch,,Americas,BNP Paribas SA;Cetelem;BNP Paribas Cardif,Long-term,Client Request,,content;social
MED_021,Innovation,Compliance;Risk Management,YouTube;Mass Mailing;Teams,Awareness Campaign,Infographic,Press & Media,IT Operations,Strategy,ESG Reporting Interactive Tool,Outil Interactif Reporting ESG,1.0,French,German,Draft,2023-06-08,2024-12-09,2024-12-06,2026-04-30,This media content covers innovation for executive committee. It provides engaging storytelling and brand alignment across digital channels.,Brand Management,Executive Committee;Partners,Confidential,Ad hoc,digital;transformation;innovation;social;content,In Progress,No,,,,France;Middle East,Cetelem;BNP Paribas Cardif;Arval,Medium-term,,Compliance,transformation;campaign;ESG;content
MED_022,Innovation,Compliance,Intranet;YouTube;Corporate Website,Awareness Campaign,Webinar,Data Office,Brand,Communication,Employee Engagement Survey Campaign,Campagne Enquête Engagement Collaborateurs,3.2,English,German,Approved,2021-08-14,2023-01-14,2024-08-03,2026-11-21,This media content covers innovation for public. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Stakeholder Engagement,Public,Confidential,Ad hoc,communication;digital,No,Yes,,,CDO,Global;Europe,BNP Paribas SA;Nickel,Short-term,Strategic Decision,Brand Awareness,content;communication
MED_023,Innovation,Operations;Digital Transformation,Mass Mailing;Teams,Product Launch,Video,Press & Media,Press & Media,Marketing,Digital Banking Infographic,Infographie Banque Digitale,2.1,English,,Published,2023-04-27,2023-07-15,2025-03-23,2026-12-20,This media content covers innovation for board. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Brand Management,Managers,Confidential,Weekly,ESG;engagement;communication,N/A,Yes,,Townhall,,Americas;France,Hello bank!;BNP Paribas SA,Immediate,Client Request,Client Acquisition,communication;media;content;campaign
MED_024,Client Experience,Compliance,Mass Mailing;Podcast Platform;Intranet,Awareness Campaign,Infographic,Social Media,Employee Engagement,IT Operations,AML Awareness Series,Série Sensibilisation LCB-FT,3.1,English,English;Spanish,Published,2022-02-25,2024-10-10,2024-02-12,2026-02-26,This media content covers client experience for regulators. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Content Production,Clients;Regulators,Internal,Annual,social;media;innovation;engagement;ESG,In Progress,No,,Digital Day,,Europe;APAC,Arval;Cetelem;BNP Paribas CIB,Short-term,,Cost Reduction,media;digital
MED_025,Operations,Data & AI;Digital Transformation,SharePoint;Mass Mailing;Podcast Platform,Training Series,Story,HR,IT Operations,Brand,Corporate Social Responsibility Report Video,Vidéo Rapport Responsabilité Sociale des Entreprises,1.1,English,Italian,Under Review,2022-08-07,2024-01-22,2024-07-02,2025-06-15,This media content covers operations for regulators. It provides engaging storytelling and brand alignment across digital channels.,Content Production;Stakeholder Engagement,Board;All Employees,Confidential,Quarterly,media;transformation;engagement;social;awareness,Yes,No,,,,LATAM;Middle East,BNP Paribas SA;BNP Paribas Cardif,Medium-term,Strategic Decision,Brand Awareness,campaign;media
MED_026,Data & AI,Digital Transformation;ESG,Teams;Intranet,Training Series,Article,Press & Media,Press & Media,Press & Media,ESG Social Media Campaign 2024 — S2,Campagne Réseaux Sociaux ESG 2024 — S2,1.2,English,,Archived,2023-05-04,2024-07-29,2025-01-11,2025-06-25,This media content covers data & ai for partners. It provides engaging storytelling and brand alignment across digital channels.,Stakeholder Engagement;Campaign Management,Board;Managers;All Employees,Restricted,Monthly,social;awareness;innovation,No,No,,Annual Results,,LATAM;Americas,BNP Paribas CIB;Cetelem,Medium-term,,Brand Awareness,communication;campaign;content
MED_027,Finance,Operations;People & Culture,SharePoint,Editorial Series,Email,Social Media,Press & Media,Communication,Digital Transformation Intranet Series — S2,Série Intranet Transformation Digitale — S2,4.1,French,,Published,2023-05-29,2023-01-11,2024-07-06,2025-09-03,This media content covers finance for partners. It provides engaging storytelling and brand alignment across digital channels.,Brand Management;Content Production;Stakeholder Engagement,Managers;Executive Committee,Public,Annual,engagement;digital,N/A,No,https://sharepoint.bnpparibas.com/media/027,Product Launch,,Global,BNP Paribas CIB;BNP Paribas SA,Immediate,Regulatory Change,Cost Reduction,ESG;brand;digital;transformation
MED_028,People & Culture,Digital Transformation;Finance,Corporate Website;YouTube;Podcast Platform,Internal Campaign,Webinar,Marketing,Communication,Data Office,Compliance Awareness Podcast — S2,Podcast Sensibilisation Conformité — S2,4.2,French,German;Italian,Active,2021-04-16,2023-08-01,2024-06-06,2025-10-05,This media content covers people & culture for partners. It provides engaging storytelling and brand alignment across digital channels.,Digital Publishing;Communication;Content Production,Partners;Executive Committee,Internal,Ad hoc,communication;social,N/A,Yes,https://sharepoint.bnpparibas.com/media/028,ESG Summit,CEO;CIO,Europe;France,Cetelem;Arval;BNP Paribas SA,Long-term,Client Request,Cost Reduction,awareness;brand;innovation
MED_029,Operations,Data & AI,Podcast Platform;SharePoint;Mass Mailing,Training Series,Video,Marketing,Marketing,Communication,Annual Results Video Campaign — S2,Campagne Vidéo Résultats Annuels — S2,3.2,English,French;Italian,Archived,2022-04-22,2024-11-29,2024-01-27,2025-07-11,This media content covers operations for board. It provides engaging storytelling and brand alignment across digital channels.,Content Production,Public;All Employees,Confidential,One-time,communication;digital;content;awareness,No,No,https://youtube.bnpparibas.com/029,ESG Summit,,France,BNP Paribas CIB,,Client Request,Client Acquisition,content;awareness
MED_030,People & Culture,Finance;Data & AI,Corporate Website;Mass Mailing,Training Series,Webinar,Brand,Communication,Press & Media,HR Onboarding Webinar Series — S2,Série Webinaires Onboarding RH — S2,4.1,English,Italian;German,Under Review,2023-03-02,2023-11-21,2024-12-31,2026-01-31,This media content covers people & culture for regulators. It provides engaging storytelling and brand alignment across digital channels.,Communication;Brand Management;Stakeholder Engagement,Managers,Restricted,Weekly,engagement;digital;social,N/A,No,https://youtube.bnpparibas.com/030,,,LATAM;Middle East,BNP Paribas CIB;BNP Paribas SA,Short-term,Regulatory Change,,brand;communication;content
MED_031,Risk Management,Data & AI;Client Experience,Social Media,Product Launch,Podcast,Social Media,Strategy,Employee Engagement,Innovation Lab Showcase — S2,Showcase Lab Innovation — S2,2.1,English,Italian,Active,2021-10-04,2023-01-14,2024-12-13,2026-03-18,This media content covers risk management for executive committee. It provides engaging storytelling and brand alignment across digital channels.,Stakeholder Engagement;Digital Publishing;Content Production,Managers;Public,Internal,Monthly,content;media;campaign;engagement,Yes,No,,,CEO;CIO,France,BNP Paribas CIB,Short-term,,Client Acquisition,campaign;media;awareness;ESG
MED_032,ESG,Risk Management,Mass Mailing,Editorial Series,Interactive Content,Communication,Communication,Social Media,Sustainability Infographic Pack — S2,Pack Infographies Développement Durable — S2,3.1,French,,Under Review,2022-06-22,2024-05-30,2024-09-01,2026-09-03,This media content covers esg for managers. It provides engaging storytelling and brand alignment across digital channels.,Content Production;Digital Publishing,Managers,Confidential,Quarterly,brand;communication;awareness,Yes,Yes,https://intranet.bnpparibas.com/media/032,Annual Results,,France,Cetelem,Long-term,Strategic Decision,,media;engagement
MED_033,Compliance,Finance;Risk Management,YouTube,Brand Content,Podcast,Marketing,Marketing,Employee Engagement,Brand Guidelines Video — S2,Vidéo Charte de la Marque — S2,2.0,French,German;French,Approved,2022-12-23,2023-04-06,2025-02-04,2025-11-01,This media content covers compliance for board. It provides engaging storytelling and brand alignment across digital channels.,Communication;Stakeholder Engagement,Executive Committee;Partners,Internal,Weekly,engagement;digital,No,No,https://youtube.bnpparibas.com/033,Annual Results,CEO,France;APAC,Cetelem;BNP Paribas SA;BNP Paribas Cardif,,,Cost Reduction,communication;social;ESG;media
MED_034,Client Experience,Data & AI;Compliance,SharePoint;Intranet;Mass Mailing,Training Series,Article,Marketing,Press & Media,Brand,Client Experience Story Series — S2,Série Story Expérience Client — S2,4.1,French,Italian,Archived,2021-07-20,2023-09-18,2024-10-07,2025-09-02,This media content covers client experience for executive committee. It provides engaging storytelling and brand alignment across digital channels.,Communication;Digital Publishing,Executive Committee;Clients;Board,Internal,Ad hoc,content;campaign;innovation;awareness;media,No,Yes,,,CDO;Head of Comms,Middle East,BNP Paribas SA,Long-term,Market Evolution,Compliance,innovation;digital
MED_035,Innovation,Data & AI,YouTube,Internal Campaign,Podcast,Strategy,Strategy,IT Operations,Data & AI Awareness Campaign — S2,Campagne Sensibilisation Data & IA — S2,4.0,English,,Published,2022-04-19,2024-07-02,2024-01-28,2025-09-16,This media content covers innovation for clients. It provides engaging storytelling and brand alignment across digital channels.,Content Production,Executive Committee;Board;Managers,Restricted,Annual,engagement;content;digital;ESG,No,No,,,CIO;CDO,Middle East,Hello bank!;BNP Paribas CIB;BNP Paribas SA,Medium-term,Strategic Decision,Employee Engagement,brand;content;media;ESG
MED_036,ESG,Finance,YouTube,Training Series,Story,Marketing,Communication,Data Office,Townhall Live Stream 2024 — S2,Live Stream Townhall 2024 — S2,2.0,English,,Archived,2023-06-11,2023-11-23,2025-03-16,2026-04-25,This media content covers esg for all employees. It provides engaging storytelling and brand alignment across digital channels.,Brand Management,Regulators;All Employees;Public,Public,Quarterly,engagement;ESG;communication,N/A,Yes,https://intranet.bnpparibas.com/media/036,Townhall,,Europe;LATAM,Arval;BNP Paribas SA;Hello bank!,Long-term,Internal Initiative,Client Acquisition,transformation;innovation
MED_037,Client Experience,Digital Transformation,Corporate Website;Social Media,External Campaign,Live Stream,Press & Media,Social Media,Communication,Green Finance Email Campaign — S2,Campagne Email Finance Verte — S2,1.0,French,,Draft,2021-04-22,2023-12-29,2025-03-07,2025-11-10,This media content covers client experience for all employees. It provides engaging storytelling and brand alignment across digital channels.,Content Production;Communication,Partners,Internal,Annual,communication;innovation;digital;social,Yes,Yes,,,,Global,BNP Paribas CIB;Cetelem,Short-term,,Employee Engagement,campaign;communication;engagement
MED_038,People & Culture,Operations,YouTube;Social Media;Mass Mailing,Brand Content,Interactive Content,Brand,Social Media,Data Office,People & Culture Podcast — S2,Podcast Personnes & Culture — S2,1.1,English,German,Approved,2022-12-06,2023-11-29,2024-05-26,2025-11-03,This media content covers people & culture for partners. It provides engaging storytelling and brand alignment across digital channels.,Digital Publishing,Partners;Public,Public,Ad hoc,transformation;awareness;ESG,In Progress,No,https://youtube.bnpparibas.com/038,,,APAC,Hello bank!;BNP Paribas SA;BNP Paribas Cardif,,Market Evolution,Compliance,media;awareness;brand;transformation
MED_039,ESG,Client Experience;Risk Management,YouTube,Internal Campaign,Campaign,Brand,Data Office,Communication,Cybersecurity Awareness Month — S2,Mois Sensibilisation Cybersécurité — S2,2.0,English,Italian;English,Archived,2022-07-11,2024-05-10,2024-08-25,2025-09-20,This media content covers esg for all employees. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Digital Publishing;Stakeholder Engagement,Partners;Clients,Confidential,One-time,ESG;campaign;media,In Progress,No,https://sharepoint.bnpparibas.com/media/039,,,LATAM,Hello bank!;BNP Paribas CIB,Short-term,Client Request,Client Acquisition,innovation;transformation;content
MED_040,Data & AI,Compliance;ESG,Teams;Intranet,Event Coverage,Story,Brand,Employee Engagement,Employee Engagement,EXCO Strategy Presentation Video — S2,Vidéo Présentation COMEX Stratégie — S2,1.2,English,English,Active,2023-01-06,2024-09-23,2024-09-11,2025-08-30,This media content covers data & ai for managers. It provides engaging storytelling and brand alignment across digital channels.,Communication,Board;Clients;Regulators,Public,One-time,innovation;campaign;awareness,Yes,No,https://intranet.bnpparibas.com/media/040,Annual Results,CMO;CDO,APAC;Europe,Nickel;BNP Paribas Cardif,Short-term,,Compliance,campaign;social;awareness;digital
MED_041,Digital Transformation,Data & AI;Innovation,Corporate Website;Social Media,Editorial Series,Article,Press & Media,Brand,HR,Diversity & Inclusion Campaign — S2,Campagne Diversité & Inclusion — S2,4.1,French,,Published,2022-12-17,2024-01-17,2025-03-03,2026-01-08,This media content covers digital transformation for partners. It provides engaging storytelling and brand alignment across digital channels.,Digital Publishing;Campaign Management,Public;Clients;Managers,Confidential,Weekly,innovation;transformation,Yes,Yes,,ESG Summit,,Middle East,BNP Paribas CIB;Hello bank!,,Client Request,Cost Reduction,campaign;ESG
MED_042,Digital Transformation,People & Culture,Corporate Website,Brand Content,Podcast,Marketing,Social Media,Employee Engagement,FinTech Innovation Series — S2,Série Innovation Fintech — S2,3.0,French,,Under Review,2021-06-25,2023-12-11,2024-07-16,2026-04-25,This media content covers digital transformation for board. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Brand Management;Digital Publishing,Board,Restricted,Weekly,brand;campaign;content;media,N/A,No,https://youtube.bnpparibas.com/042,Brand Event,,France,Arval;Nickel,Long-term,Client Request,Brand Awareness,content;brand;innovation;social
MED_043,Data & AI,ESG,Corporate Website;SharePoint,Awareness Campaign,Podcast,Data Office,Strategy,Press & Media,Risk Management Webinar — S2,Webinaire Gestion des Risques — S2,1.0,French,German;French,Under Review,2023-02-23,2024-11-29,2024-01-15,2026-12-20,This media content covers data & ai for clients. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Communication,Regulators;Public;Board,Restricted,One-time,communication;media,Yes,No,,Digital Day,CMO,APAC,Arval,Immediate,Regulatory Change,,digital;transformation;campaign;communication
MED_044,ESG,Client Experience,Intranet;YouTube,Editorial Series,Podcast,Strategy,Strategy,IT Operations,Internal Brand Refresh Campaign — S2,Campagne Rafraîchissement Marque Interne — S2,1.1,English,,Published,2023-03-20,2023-11-03,2024-04-01,2026-01-13,This media content covers esg for board. It provides engaging storytelling and brand alignment across digital channels.,Brand Management;Content Production;Digital Publishing,Board;Partners;Executive Committee,Public,Quarterly,social;campaign;engagement;ESG,In Progress,No,,,,Global;LATAM,BNP Paribas CIB,Immediate,Regulatory Change,Client Acquisition,brand;content;campaign;engagement
MED_045,People & Culture,Client Experience;Innovation,YouTube,Event Coverage,Email,Social Media,Marketing,Brand,Client Onboarding Digital Journey — S2,Parcours Digital Onboarding Client — S2,1.0,English,French,Archived,2022-08-23,2024-12-18,2024-05-26,2025-11-09,This media content covers people & culture for public. It provides engaging storytelling and brand alignment across digital channels.,Digital Publishing;Campaign Management;Communication,Partners;Regulators;Managers,Internal,One-time,transformation;communication;social;digital;media,N/A,No,,,,Europe;Middle East,Nickel;BNP Paribas CIB;Hello bank!,,Strategic Decision,Cost Reduction,social;engagement
MED_046,Digital Transformation,People & Culture;Compliance,Corporate Website;Intranet;Mass Mailing,Awareness Campaign,Live Stream,Communication,Press & Media,Data Office,ESG Reporting Interactive Tool — S2,Outil Interactif Reporting ESG — S2,2.2,English,German;French,Approved,2021-03-03,2025-01-16,2024-08-16,2026-05-25,This media content covers digital transformation for public. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Communication,Executive Committee;Regulators,Confidential,Ad hoc,content;social;communication;campaign;innovation,Yes,Yes,,,Head of Comms;CDO,LATAM;Global,Cetelem,Medium-term,,Client Acquisition,ESG;transformation;engagement;innovation
MED_047,Digital Transformation,Operations;Risk Management,Corporate Website;Podcast Platform;YouTube,Training Series,Podcast,HR,IT Operations,HR,Employee Engagement Survey Campaign — S2,Campagne Enquête Engagement Collaborateurs — S2,3.1,English,,Archived,2021-01-12,2025-02-05,2024-07-09,2026-06-04,This media content covers digital transformation for partners. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Brand Management;Digital Publishing,All Employees;Partners,Restricted,Annual,digital;communication;content;campaign,In Progress,No,,,,Americas;APAC,BNP Paribas Cardif;Hello bank!;Arval,Short-term,,Employee Engagement,media;communication
MED_048,Operations,People & Culture;Risk Management,Intranet;Social Media;Teams,Brand Content,Campaign,Social Media,Marketing,Strategy,Digital Banking Infographic — S2,Infographie Banque Digitale — S2,1.1,English,Spanish,Under Review,2022-05-02,2024-08-23,2024-02-14,2025-07-01,This media content covers operations for managers. It provides engaging storytelling and brand alignment across digital channels.,Campaign Management;Content Production,Clients,Internal,Weekly,communication;ESG;social;brand;engagement,In Progress,Yes,https://intranet.bnpparibas.com/media/048,Brand Event,CIO;CDO,Middle East;Global,BNP Paribas Cardif;Hello bank!,Immediate,Client Request,,social;ESG;communication;engagement
